preds,labels
화자 에스디(SD)200032(SD200032)는 식품 영양학과가 나오다 보니 우리 몸에 균형성이 중요하고 구성이 몸에 좋은 음식들을 소개해 주자면 시금치 호두 이런 것들이 굉장히 몸에 좋다는 것도 알 수 있다.,"이 대화에서 화자들은 요즘 헬스장을 이용하는지, 즐겨하는 운동과 그 이유에 대해 대화를 나눴습니다. SD2000032는 코로나 상황으로 인해 헬스장이 가격을 낮추어 비교적 저렴하게 시설을 이용하고 있다고 말했습니다. 요즘에 가장 즐겨하는 운동은 스쾃이고 근육 운동으로 덤벨도 많이 한다고 말했습니다. 또 운동을 하는 이유로 몸도 관리하면서 성취감을 얻기 위함이라고 말했습니다. SD2000033은 헬스장 이용을 했었지만 코로나로 인해 헬스장 운영이 중단되어 현재는 이용하지 않는다고 이야기했습니다. 좋아하는 운동은 축구이고 축구를 통해 새로운 사람들과 관계를 맺을 수 있으며 즐겁다고 했습니다."
화자 에스디(SD)와 김연아 선수가 유명하다.,"이 대화에서 화자들은 각자 좋아하는 축구 선수에 대해 소개하고 스포츠 직관에 대한 이야기를 나누었습니다. SD2000032는 멋진 외모와 축구 실력을 갖춘 손흥민 선수와 운동도 잘할 뿐 아니라 인성도 좋은 이동국 선수는 사람들에게 사랑 받을 수 밖에 없는 선수라고 이야기했으며, 상대방에게 직접 경기를 관람한 적 있는지 물었습니다. SD2000033은 단신임에도 최고의 플레이를 할 뿐만 아니라 사생활이 깨끗한 축구 선수인 메시와 멋진 축구 경기뿐만 아니라 팬들에게도 잘 하고 긍정적인 네이마르를 좋아한다고 했고, 코로나 전에는 직관을 많이 했으며 지금은 집관을 하고 있다고 이야기했습니다."
화자 에스디(SD)200035라서 자기가 목표가 있어서 꿈을 향해 이제 행동을 하는 게 감명 깊어서 애니메이션을 추천했다.,"이 대화에서 화자들은 좋아하는 영화 장르와 우리 나라에서 인기가 있었던 애니메이션, 애니메이션을 볼 수 있는 곳에 대해 이야기했습니다. SD2000034는 어렸을 때부터 영화를 매우 좋아했고 일본 만화도 즐겨 봤다고 했고 우리나라에서 인기 있었던 진격의 거인 영화에 대해서는 이해가 잘 안되는 부분이 좀 많이 있었다고 얘기했습니다. SD2000035는 처음 봤던 영화가 가장 기억에 남는데 장르가 애니메이션이었기 때문에 애니메이션 영화를 보는 것을 더 선호한다고 했으며 또한, 일본 애니메이션을 많이 좋아했던 편이라서 영화관이나 사이트에서 많이 찾아 봤었다고 말했습니다."
화자 에스디(SD)200035: 어벤저스 중에서도 좋아하는 인물이 스파이더맨이라고 있는데 예전 배우로 바뀌어서 이제 스파이더맨이라는 배우가 훨씬 젊어진 배우라서 시리즈를 몰아봤던 것 같다.,"이 대화에서 화자 SD2000034와 화자 SD2000035는 애니메이션 장르 외에 좋아하는 영화 장르와 그 이유, 시리즈물 작품에 대해 이야기를 나누었습니다. 화자 SD2000035는 애니메이션 말고도 범죄 영화를 많이 좋아하는 편이라고 했으며 또 액션 영화를 좋아하여 해리포터나 어벤져스 영화 등 큰 임팩트가 있는 영화를 많이 봤다고 이야기했습니다. 화자 SD2000034는 전쟁, 모험, 스릴러, 액션 영화를 다 좋아하지만, 특히 마피아를 소재로 한 영화를 좋아하며 범죄 관련 장르도 많이 봤다고 했습니다. 하지만 해리포터나 어벤져스 등의 시리즈로 나오는 영화는 내용이 비슷해서 즐겨보지 않는다고 말했습니다. "
인자 에스디(SD)200039가 먹거리 여행자 클럽이라는 여행사가 있는데 요즘은 안 가보고 한다며 이에 대해 이야기하고 있다.,"SD2000038과 SD2000039는 여행지에서 맛있었던 음식과 서울 시내에서 맛집 다녀온 경험, 아직 맛집에 가지 못한 이유에 대해 이야기 나누었습니다. SD2000038은 서울에 올라와 맛집을 다니고 싶었지만 코로나 상황에서 사람들이 많아 위험할 것 같고 길 찾기도 어려워 아직 거의 다니지 못했다고 말했습니다. SD2000039는 섬 둘레길을 여행했을 때 계절 나물 특히 봄에는 두릅이 맛있었다고 말했습니다. 또 본인 집 근처인 경복궁 쪽에는 해물 파전과 들깨 칼국수가 유명한 잔칫집이라는 식당을 추천했습니다."
할머니가 파를 넣고 파전을 해주셨는데 호박을 좋아해서 할머니가 단호박을 다 숟가락으로 파내고 시도 파내고 다 가 숟가락으로 쭉 다져서 호박전도 많이 해주셨던 기억이 있다.,"SD2000038과 SD2000039는 할머니와 엄마가 해주셨던 음식 중에서 지금은 먹을 수 없지만 기억에 남는 것에 대해 이야기를 나누었습니다. SD2000039는 지금은 맛보기 어렵지만 예전에 엄마가 직접 만들어주셨던 도토리묵과 술빵을 먹고 싶다고 말했습니다. 그리고 충청도식 호박죽이 너무 기억에 남아 직접 만들어 먹었다고 했습니다. 또 SD2000038에게 할머니가 집에서 해주셨던 맛있는 음식이 무엇인지 물었습니다. SD2000038은 할머니가 해주시던 고추장 양념의 콩나물국과 감자채, 파전과 단호박으로 만든 호박전이 맛있었던 기억이 있어 또 먹고 싶다고 했습니다. SD2000039에게 지금 맛볼 수는 없지만 예전에 많이 먹었던 음식이 무엇인지 물었습니다."
화자 에스디(SD)200039로 돈을 많이 벌면 마부로 먹고 싶다.,SD2000038과 SD2000039는 앞으로 먹어보고 싶은 먹거리에 대해 얘기했습니다. SD2000038은 상대방에게 앞으로 먹어보고 싶은 먹거리가 있는지 물어봤습니다. SD2000039는 돈을 많이 벌어서 10년 전에 먹었던 마부로 회를 먹고 싶다고 말했습니다.
화자 에스디(SD)200038이 목표가 바이올린만은 아니라서 그냥 바이올린은 취미로 하고 싶었던 거였고 지금 하고 싶은 것은 많은데 뭐부터 해야 될지 선택도 못 하겠고 대학은 미뤄둔 상태라서 나중을 위해서 나중에 뭘 하든 쓰일 만한 영어를 공부하려고 하고 있다.,"두 화자는 이 대화에서 현재 이루고 싶은 목표와 이루지 못한 꿈에 대한 이유에 대해 말했습니다. SD2000038은 서울 와서 많은 사람을 만나보면서 시야를 넓히는 것과 어릴 때 했던 바이올린으로 오케스트라 단에 들어가고자 하는 꿈이 있지만, 현재 코로나 때문에 하지 못하고 있다고 말했습니다. SD2000039는 이루고 싶은 목표가 많지만 당장은 전원주택에서 사는 것과 시골로 가는 것이라고 얘기했습니다. 또 젊었을 때 여경이나 학교 선생님이 되고 싶었지만 가정 환경이 어려워 꿈을 이룰 수 없었다고 말했습니다."
밥 먹을 때도 미드 자막 없이 보고 영어 영자 신문도 자주 읽으려고 해서 지금은 영어를 외국인처럼 원어민처럼 잘하는 거를 목표로 삼고 있다.,"두 화자는 이 대화에서 꿈에 대한 자신의 생각과 이루고 싶은 목표에 대해 말했습니다. SD2000038은 꿈은 평생 여러 개 가질 수 있다고 생각한다고 말했습니다. 그리고 어디에서도 잘 쓰일 것 같은 영어를 배워 원어민처럼 말하는 것을 목표로 하고 있다고 말했습니다. SD2000039는 아이를 가지기 위해 노력했던 과거 상황을 말했고, 본인이 원하는 것을 열심히 노력해도 원하는 대로 되지 않을 수 있지만 그래도 멈추지 말고 후회 없이 해야 한다고 말했습니다."
화자 에스디(SD)가 200039인데 몸이 약해지니까 요때 빨리해야 될 것 같아서 무조건 닥치는 대로 돈을 벌고 있다.,두 화자는 이 대화에서 SD2000039의 꿈인 전원주택에서 살기 위한 준비 과정에 대해 이야기했습니다. SD2000038은 상대방이 전원주택에 살기 위해 어떤 준비를 하고 있는지 물어봤습니다. SD2000039는 재테크에는 관심이 없었지만 전원주택에서 살기 위한 준비로 아르바이트도 하며 돈을 열심히 모으고 있다고 말했습니다.
카르스트 지형은 이제 석회암 베이스로 물이 침식해서 생기는 지형이고 자세하게 얘기하기는 나도 지금 전공 지식이 조금 기억이 가물가물해서 얘기는 못 해주겠지만 빨간 색깔 토양이 나타나는 게 특징적이다.,"두 화자는 이 대화에서 가고 싶은 지역별 여행지에 대해 말했습니다. SD2000042는 강원도에서는 강릉과 평창 양 떼 목장, 전라도에서는 순천만과 여수 바다, 충청도에서는 단양과 태안을 추천했습니다. SD2000043은 서울 근교 지역과 경기도, 강원도도 가고 싶다고 말했습니다. 그리고 충청도와 전라도에서는 조사해서 가보지 않은 여행지를 위주로 가보고 싶다고 이야기했습니다."
화자 에스디(SD)200043: 모두들 프랑스에 가면 항상 에펠탑 사진을 찍어서 이제 친구들이 항상 유럽 여행을 갈 때 프랑스를 꼭 들러서 에펠탑을 실물로 보면서 같이 사진을 찍고 싶다.,두 화자는 이 대화에서 유럽에서 가고 싶은 나라와 그곳에서 하고 싶은 것들에 대해 이야기했습니다. SD2000042는 독일의 베를린이나 하이델베르크와 같은 도시를 여행하면서 맥주 축제에서 여러 사람들과 어울리며 즐기고 싶다고 이야기했습니다. SD2000043은 유럽에서 독일을 제일 가고 싶다고 했고 서유럽 도시 중에서 스페인을 가장 가보고 싶다고 했습니다. 또 예술적 도시인 프랑스에 가서 에펠탑을 배경으로 사진도 찍고 싶다고 말했습니다.
화자 에스디(SD)200043이고 등산을 하면서 이제 캐나다 사람들이 관심 건강에도 관심이 많고 지형이라든지 그런 환경에서의 차이도 조금 느낄 수 있고 메이플 시럽이 유명하고 단풍나무가 유명하니 이제 메이플 시럽을 많이 먹을 수 있다.,"두 화자는 이 대화에서 북유럽 또는 아메리카 대륙 중에 가봤던 여행지와 가보고 싶은 여행지에 대해 말했습니다. SD2000043은 캐나다에서 대표적이고 경치가 아름다운 밴쿠버에 가서 박물관뿐만 아니라 유적지와 잘 보존된 자연환경을 많이 봐서 좋았다고 말했습니다. SD2000042는 북유럽에서는 핀란드와 노르웨이, 아메리카 대륙에서는 미국의 대도시뿐만 아니라 작은 도시들과 사막을 제대로 가보고 싶다고 말했습니다."
해산물 종류는 대체로 잘 먹기 때문에 다음에 같이 감바스나 초밥이나 해산물 종류를 먹으러 같이 갈 수 있는 것도 좋을 것 같다.,"SD2000042와 SD2000043은 피자를 만든 경험과 좋아하는 해산물에 대해 이야기했습니다. SD2000042는 SD2000043의 블로그에 올라온 토르티야 피자 이야기를 보고 어땠는지, 해산물을 좋아하는지 질문했습니다. SD2000043은 집에 있는 동안 직접 만들어 먹을 수 있는 음식을 고민하다가 토르티야 피자를 만들었으며, 처음에는 필요한 재료도 많고 손질하는 것도 어려웠다고 이야기했습니다. 또한, 해산물은 다 좋아하며 특히 연어, 새우, 조개를 좋아한다고 말했습니다."
화자 에스디(SD)200043: 순쌀빵에서 공갈빵도 먹고 타르트도 먹고 그런 빙수도 같이 먹으러 가면 괜찮을 것 같다.,"이 대화에서 화자 SD2000042와 SD2000043은 좋아하는 디저트 종류와 맛집 위치, 맛있는 메뉴에 대해 공유했고 맛집에 함께 가자고 이야기했습니다. SD2000043은 디저트 중에서 치즈 케이크와 초코쿠키, 마카롱을 좋아한다고 이야기했습니다. 빵 종류 중에서는 공갈빵을 제일 좋아해서 순쌀빵에서 자주 사 먹었다며, 다음에 함께 순쌀빵에 가서 공갈빵과 타르트, 빙수를 먹자고 이야기했습니다. SD2000042는 정관 쪽에 윤스시에서 파는 초밥이 맛있고, 마라탕 맛집이 있다고 이야기했습니다. 또한, 크루아상을 와플기에 넣고 구운 크로플을 소개하고 순쌀빵에서 여름에 파는 빙수와 딸기 타르트도 맛있다고 이야기했습니다."
화자 에스디(SD)200045는 여름에는 엄청 더위를 타지 않는 스타일이고 겨울에는 추위를 많이 타는 타입이라 항상 두세 겹 껴입고 패딩을 항상 입고 있는 편이다.,"이 대화에서 화자 SD2000044와 SD2000045는 서로 선호하는 계절과 선호하지 않는 계절, 계절별 추억에 대해 이야기했습니다. SD2000044는 어렸을 때 더운 날씨에 아이스크림을 먹으며 만화 영화를 봤던 행복한 추억이 있는 여름을 가장 좋아하는 계절이라고 했습니다. 싫어하는 계절은 없지만 봄과 가을은 재미없는 계절이라고 생각한다고 이야기했습니다. SD2000045는 선선한 가을을 가장 좋아하며, 기피하는 계절로는 눈의 염증 때문에 봄을 선택했습니다. 친구들과의 추억, 봄에서 여름으로 넘어가는 시기의 시원한 바람이 기분 좋은 추억으로 생각한다고 이야기했습니다."
화자 에스디(SD)200870:870:를 보면 뭐 하러 하느냐 이런 소리를 많이 하는데 혼자 살아도 괴롭고 인생이라는 것이다.,두 화자는 이 대화에서 자식을 낳는 것에 대해 말했습니다. SD2000869는 본인이 딸들을 낳아 인생의 큰 기쁨이었다며 자녀들도 자식을 낳아 자녀로 인한 행복함을 누렸으면 좋겠다고 말했습니다. SD2000870의 지인은 자녀가 예쁘지만 키우면서 너무 힘들었기 때문에 자식을 낳는 것에 신중해야 하고 안 낳아도 된다고 생각하고 있다고 말했습니다.
화자 에스디(SD)200871: 나는 스타를 직접 볼 기회는 없어서 봐도 콘서트장에서 아주 먼 자리에 그렇게 크게 와닿지는 못했다.,"SD2000871과 SD2000872는 좋아하는 가수와 이유에 대해 대화를 나누고 있습니다. SD2000871은 귀엽고 청량한 느낌의 아이돌에게 더 눈길이 간다고 말했습니다. 학창 시절 연예인을 좋아할 때 한 사람을 오랫동안 좋아했던 편이라 매번 새로운 가수를 좋아하는 SD2000872가 이해가 잘 안된 적도 있다고 했지만, 실제 현장에 가서 보고 경험해 본 것이기에 지금은 이해가 된다고 했습니다. SD2000872는 신인 아이돌을 좋아하고 카리스마 있는 가수를 좋아한다고 했습니다. 점점 팬들에게 소홀하게 대하는 기존 가수들보다 팬들에게 더 잘해주려는 모습 때문에 신인 가수들을 더 좋아한다고 말했습니다. 예외로 골든차일드는 신인이 아님에도 초심을 잃지 않고 꾸준히 팬들에게 열심히 하는 모습 때문에 지속해서 좋아한다고 말했습니다."
화자 에스디(SD)200871이 연예인이 되고 싶고 아이돌이 되고 싶은 사람들과 경쟁하려면 더 많은 노력을 해야 할 것 같다.,SD2000871과 SD2000872는 아이돌에 대한 생각과 연예인이 되고 싶어 하는 꿈에 대해 대화를 나눴습니다. SD2000871은 SD2000872와 같이 음악 방송을 보며 크래비티 멤버 중 3명 정도 마음에 들었다고 했습니다. 여자가 여자 아이돌에게 관심 있을 수 있다고 말하며 연차 있는 가수보다 신인을 좋아하면 그만큼 찾아보고 알아보는 노력이 더 많이 필요할 것 같다고 말했습니다. SD2000872가 연예인의 진로를 가진 것에 대해 말했을 때 충분히 노력하면 할 수 있다고 응원해주었습니다.  SD2000872는 요즘 크래비티 신인 아이돌에게 관심이 있다고 했고 최근에는 여자 아이돌에게도 관심이 많다고 했습니다. 본인처럼 신인만 좋아하는 스타일은 일반적이지는 않다고 했습니다. 화자가 이렇게 아이돌을 찾아보고 관심을 기울이는 이유는 아이돌과 같이 연예 활동을 하는 게 꿈이기 때문이라고 했습니다.
화자 에스디(SD)2000873는 영양제도 유행이 많은 것 같고 이제는 한 번씩 먹어보고 먹어보고 싶은 마음이 있어서 먹는데 영양제 먹는 것도 일이다.,"두 화자는 이 대화에서 가족의 건강 상태와 건강 관리에 대해 말했습니다. SSD2000873은 부모님 건강뿐 아니라 코로나에 걸리실까 봐 항상 걱정된다고 말했습니다. 그리고 본인도 매년 체력이 달라짐을 느끼며 건강이 가장 중요하다고 느낀다고 말했습니다. 또 영양제 열심히 챙겨 먹으려 노력하고 있지만 쉽지 않다고 말했습니다. SD2000874는 본인 건강은 괜찮지만 지난주 아버지가 갑자기 아프셨다고 말했고, 다행히 코로나도 아니고 심각하지 않았다고 말했습니다. 그리고 본인도 건강이 예전 같지는 않지만 코로나 때문에 어디 가서 운동하기도 쉽지 않다고 하며 영양제를 챙겨 먹고 있다고 말했습니다."
화자 에스디(SD)2000874:는 정신력으로 다니는 것 같다.,"두 화자는 이 대화에서 배우자의 건강에 대해 말했습니다. SD2000873은 건강 관리하지 않는 남편이 꼴 보기 싫다고 했습니다. 특히 남편은 근육이 다 빠지다 보니 다리가 너무 얇아졌을 뿐 아니라 한쪽 팔이 혈액 순환이 잘 안되는 편이라고 말했고, 은퇴한 후는 몸뿐만 아니라 정신적으로도 약해진다고 했습니다. SD2000874의 남편도 다리가 아파서 운동을 못 하고 있다며 자기 관리하지 않고 있다고 말했습니다. 그리고 시누이가 본인 남편에게 하는 관리를 보고 화자도 남편에게 건강 즙을 만들어 주고 있다고 했습니다. 또 남편이 현재까지 일하는 건 정신력으로 다니는 것 같다고 대단하다고 했습니다."
엄마가 화자 에스디(SD)2000873이라며 이 나이에 살아보면 그 안정된 현실이라는 게 굉장히 중요하다고 한다.,"이 대화에서 화자 SD2000875는 진로에 대한 고민을 이야기했고 화자SD2000873은 공감과 조언을 통한 상담을 해주었습니다. 고등학생인 SD2000875는 수능과 진로 선택의 압박 때문에 고민이 있다고 했고 그림 그리기와 영화를 좋아하나 취미로만 했기에 진로로 결정하기에는 부족한 실력이라고 했습니다. 또한, 안정적인 직업을 요청하시는 엄마 때문에 고민이 된다며 조언을 구했습니다.SD2000873은 SD2000875의 고민에 대해 자신도 그랬던 적이 있다며 공감해주었고 어렸을 때 좋은 학교, 좋은 집안에 결혼하는 것이 좋은 길이었으나 요즘에는 삶이 다양해져서 좋은 세상 같지만 한편으로는 따라가기 힘든 세상인 것 같다고 했습니다. 현실과의 타협에 대해서는 자녀의 재능을 다 알 수도 없고 뒷받침해 줄 능력도 안되다 보니 자녀에게 안정적인 직업을 위해 공부하라고 말할 수 밖에 없는 엄마의 입장을 이해한다고 했습니다."
화자 에스디(SD)2000873: 꼭 영화 편집 아니더라도 하고 싶은 일이 있으면 뭐든지 열심히 하면 누구보다 더 열심히 해야 될 것 같다.,이 대화에서 화자들은 진로 관련 고민에 대해 이야기했습니다. SD2000875는 예능쪽으로 입시를 준비하고 있다고 말했습니다. 하고 싶은 일은 수능 정시로 준비해야 하는데 성적이 안 나와서 걱정이고 재수를 생각하고 있다고 했습니다. SD2000873은 후회하지 않도록 무엇을 하든지 할 수 있다고 생각하고 불안해 하기 보다는 더 열심히 노력하고 준비하라고 조언했습니다.
제주도에 가면 해수욕장을 테마로 해서 한 번 돌아도 되고 하루는 한라산을 테마로 삼아도 되고 그다음에는 목장이나 오름 같은 걸 가지고 또 한 번 가면 3박 4일 정도가 딱 적당한 것 같다.,"이 대화에서 화자들은 제주도 여행지에 대해 대화를 나눴습니다. SD2000879는 제주도에서 글라라 수도원을 가보고 싶다고 말했습니다. SD2000878은 제주도 관광지로 성이시돌목장 주변, 협지 해수욕장, 한림 공원, 성산 일출봉과 섭지코지, 비자림, 만장굴, 쇠소깍, 온천물과 바다가 공존하는 곽지 해수욕장, 표선 해수욕장을 추천했습니다."
