token,utterance
others7였나? 노래도,1
name이도 그렇고,1
name이는 제이잖아.,1
name이는 괜찮아,1
name이고 나이가,1
name랑 같이,1
name랑 거기,1
name랑 약속,1
name밖에 안,1
name아 우리,1
name에 말을,1
name이 라면은,1
name이 말대로,1
name이 이거,1
name이 인스타에서,1
name이 지금,1
name이 하후,1
name이. 응.,1
name이가 부산에,1
name이가 혼자,1
name6가 잘,1
name6 샘,1
name3도 코레일,1
name4가 하루,1
name3인가 같이,1
name3한테 기대해,1
name3한테 이래,1
name3한테 하듯이,1
name4 언니가,1
name4 자매처럼,1
name4가 그랬잖아,1
name4는 언니,1
name4를 태어나서,1
name4는 요즘에,1
name4는 운동을,1
name4도 그렇지만,1
name4도 아는,1
name4도 원래,1
name4랑 name5도,1
name4를 안고,1
name3이의 시험,1
name3이랑 얘기하면,1
name3이도 취업을,1
name3이도 있구나.,1
name3라고 기억해?,1
name3랑 너무,1
name2 씨한테,1
name3아 우리,1
name3이 오빠가,1
name3이 요즘에는,1
name3이 한강에서,1
name3이가 그때,1
name3이가 조금,1
name3이가 좋지,1
name3이가 한,1
name3이나 아빠는,1
name3이네 언니가,1
name3이는 어때?,1
name3이는 저기,1
name4를 쳐다보느라고,1
name4아 너,1
name6 너도,1
name5이가 좋아하는데.,1
name5는 본인의,1
name5는 키우면서,1
name5를 잘,1
name5이 name4이,1
name5이가 거기에서,1
name5이가 아무래도,1
name5이가 원래는,1
name5이나 name4이,1
name4아 애가,1
name5이나 나,1
name5이도 하고,1
name5이랑 꾸준히,1
name5이랑 잠깐,1
name5이만 해봐,1
name5한테 용돈을,1
name6 너는,1
name5나 name6나,1
name5가 짝을,1
name5가 조금,1
name5가 어떤,1
name4이 name5이,1
name4이 동생,1
name4이 의견을,1
name4이 주를,1
name4이가 공격을,1
name4이나 나나,1
name4이나 만날,1
name4이도 하고,1
name4처럼 에스오스,1
name4처럼 우리,1
name5 정도잖아.,1
name5가 그걸,1
name5가 대단하다고,1
name5가 말썽을,1
name5가 맞춰,1
name3를 재우고,1
name2 근데,1
name2 씨를,1
company-name4도 진짜,1
company-name5도 맛있는데,1
company-name5라고 맥주,1
company-name5라고 이렇게,1
company-name5랑 두,1
company-name5로는 충족이,1
company-name5를 보면서,1
company-name5를 여러,1
company-name5에 12만,1
company-name5에서 분당,1
company-name5에서 아마,1
company-name5의 가장,1
company-name5이 얼마나,1
company-name5이 훨씬,1
company-name5이란 곳이,1
company-name5이었던 거,1
company-name5는 한,1
company-name5가 더,1
company-name5가 거기가,1
company-name4이 이면,1
company-name4라는 카페에,1
company-name4은 딱,1
company-name4은 저번에,1
company-name4을 보여,1
company-name4을 해야,1
company-name4이 없어지는,1
company-name4인 걸,1
company-name5 쪽에서,1
company-name4잖아. 근데,1
company-name5 가서,1
company-name5 거기가,1
company-name5 사장님은,1
company-name5 중에서,1
company-name5 집들,1
company-name6 선생님은,1
company-name6는 사실,1
company-name6도 있잖아?,1
name 10살,1
company-name라는 유튜브를,1
company-name를 보고,1
company-name에서 샀어.,1
company-name이라고 마라샹궈,1
company-name인가 거기서,1
company-name인데 거기,1
name 나,1
company-name가 한,1
name 난리난,1
name 너,1
name 네가,1
name 따라서,1
name 실장님도,1
name 실장님은,1
company-name라는 미어캣을,1
company-name가 지금,1
company-name6랑 그걸,1
company-name7집 가고,1
company-name6랑 다음에,1
company-name6에서 company-name7에서,1
company-name6이라고 낸,1
company-name7 생겼는데,1
company-name7 카페,1
company-name7라고 거기를,1
company-name8 같은,1
company-name9인가 거기서,1
company-name8나 이런,1
company-name9 괜찮네?,1
company-name9 쪽에서,1
company-name9도 맛있고,1
company-name9도 생각했거든,1
company-name9을 갔는데,1
company-name4도 한,1
company-name4가 가장,1
name2 씨가,1
company-name4 홍대에서,1
company-name11이 진짜,1
company-name12 북해도식,1
company-name12가 본점은,1
company-name12도 보고,1
company-name12도 사실,1
company-name12도 있네?,1
company-name12랑 이런,1
company-name13 같은,1
company-name13 둘,1
company-name13은 사람,1
company-name14인가? 하여튼,1
company-name15 인가,1
company-name16 인가?,1
company-name17 가서,1
company-name17 거기,1
company-name11도 괜찮지.,1
company-name11 진짜,1
company-name11 보다,1
company-name1 같은,1
company-name 가는,1
company-name 갔을,1
company-name 라고,1
company-name 상암동에,1
company-name 얘기,1
company-name1 company-name1,1
company-name1 거기서,1
company-name11 되게,1
company-name1 세트가,1
company-name1 세트인가?,1
company-name1 횟집을,1
company-name10도 엄청,1
company-name10이 가장,1
company-name11 같은,1
company-name17 그때,1
company-name17 또,1
company-name17도 가고,1
company-name3라고 저기,1
company-name3 떡볶이나,1
company-name3 보쌈이었나?,1
company-name3 집은,1
company-name3 해,1
company-name3가 여기가,1
company-name3라고 있거든?,1
company-name3라는 곳인데,1
company-name2이라고 진짜,1
company-name4 company-name4,1
company-name4 사진만,1
company-name4 알아?,1
company-name4 여기,1
company-name4 이외에는,1
company-name4 있더라고?,1
company-name3 걔네가,1
company-name2라는 호프집이,1
company-name17를 여름에,1
company-name1이 자기는,1
company-name1가 가지고,1
company-name1에 company-name7이라고,1
company-name1이 6개월은,1
company-name1이 난,1
company-name1이 몇,1
company-name1이 여여자,1
company-name1이 저번에,1
company-name2라고 칼국수집,1
company-name1이 추천합니다,1
company-name1이라고 알아?,1
company-name2 말고,1
company-name2 있잖아.,1
company-name2 한,1
company-name2가 거기를,1
name 실장님이,1
name 씨한테,1
name 어제,1
name 오빠랑,1
name1이 그때,1
name1이 네가,1
name1이 맞았어.,1
name1이 손자,1
name1이 시집가고,1
name1이 아빠가,1
name1이 아빠한테,1
name1이 초봉이,1
name1이 출근할,1
name1이 트롤,1
name1이 하고,1
name1이가 건축,1
name1이가 많이,1
name1이나 name2한테도,1
name1이나 전부,1
name1이 name2이,1
name1은 평생,1
name1은 마키노차야,1
name1랑 보면?,1
name1도 요가,1
name1도 이게,1
name1도 처음엔,1
name1도 쿠키,1
name1도 했었잖아.,1
name1랑 나랑,1
name1아 닌텐도,1
name1야. 우리는,1
name1아 우리도,1
name1아 원래,1
name1야 나는,1
name1야 똑같잖아.,1
name1야 언니,1
name1야 종암동에서,1
name1이네나하고 우리만,1
name1이네서 춘복이랑,1
name1이는 강사,1
name2 님도,1
name1한테만 보내고,1
name2 name2는,1
name2 거든.,1
name2 결혼했잖아?,1
&address&2 재개발하는,1
name2 님께서,1
name2 님만의,1
name1한테 어느,1
name2 님이,1
name2 님이랑,1
name2 불러,1
name2 삼식이는,1
name2 생각이,1
name2 선생,1
name1한테 해,1
name1한테 보여,1
name1이는 고양이,1
name1이도 다음에,1
name1이는 고양이랑,1
name1이는 곤충,1
name1이는 애완,1
name1이는 요리에,1
name1이는 햄스터,1
name1이도 꽤,1
name1이라는 친구랑,1
name1한테 너,1
name1이랑 name2,1
name1이랑 name2가,1
name1이랑 걔네랑,1
name1이랑 그렇게,1
name1이만 그래도,1
name1하고 여,1
name1도 여자,1
name1도 그런,1
name1님이 13은,1
name1 엄마도,1
name1 씨한테,1
name1 아버지가,1
name1 아버지한테,1
name1 아빠랑,1
name1 언니가,1
name1 언니한테,1
name1 오빠네도,1
name1 씨부터,1
name1 와,1
name1 이사장님께서,1
name1 이사장님이,1
name1 이사장님이었는데,1
name1 있을,1
name1 저,1
name1 씨처럼,1
name1 씨라고,1
name1 친구,1
name1 나,1
name 오빠랑도,1
name 우리,1
name 있잖아.,1
name1 name2가,1
name1 그냥,1
name1 꿈,1
name1 너,1
name1 씨는요.,1
name1 너는,1
name1 님도,1
name1 마키노차야,1
name1 보면,1
name1 샐러드,1
name1 싫어하는,1
name1 지금,1
name1 코레일,1
name1는 혹시,1
name1는 신전떡볶이,1
name1같은 경우에는,1
name1는 거기에서,1
name1는 그건,1
name1는 그렇다,1
name1는 다른,1
name1는 뭐가,1
name1는 어떤,1
name1가 좋은,1
name1는 요즘,1
name1는 원래,1
name1는 정말,1
name1는 좋아하는,1
name1는 좋아해?,1
name1는 한,1
name1가 진짜,1
name1가 적당한,1
name1 파리바게트,1
name1가 국물,1
name1 한번,1
name1 헌혈,1
name1 형님께서는,1
name1가 가자고,1
name1가 결혼,1
name1가 고3,1
name1가 그게,1
name1가 재미없다고,1
name1가 그냥,1
name1가 떡볶이가,1
name1가 뭐에,1
name1가 보니까,1
name1가 얼마,1
name1가 엇,1
others라는 유튜버가,1
